"","ctryname","cowcode2","politycode","un_region_name","un_continent_name","ehead","democracy","begindateleaderdem","enddateleaderdem","tenuredem","rightcensdem"
"65","Australia",900,900,"Australia and New Zealand","Oceania","Robert Menzies","Democracy",1949,1965,17,1
"66","Australia",900,900,"Australia and New Zealand","Oceania","Harold Holt","Democracy",1966,1966,1,0
"67","Australia",900,900,"Australia and New Zealand","Oceania","John McEwan","Democracy",1967,1967,1,1
"68","Australia",900,900,"Australia and New Zealand","Oceania","John Gorton","Democracy",1968,1970,3,1
"69","Australia",900,900,"Australia and New Zealand","Oceania","William McMahon","Democracy",1971,1971,1,1
"70","Australia",900,900,"Australia and New Zealand","Oceania","E. Gough Whitlam","Democracy",1972,1974,3,1
"71","Australia",900,900,"Australia and New Zealand","Oceania","Malcom Fraser","Democracy",1975,1982,8,1
"72","Australia",900,900,"Australia and New Zealand","Oceania","Robert Hawke","Democracy",1983,1990,8,1
"73","Australia",900,900,"Australia and New Zealand","Oceania","Paul Keating","Democracy",1991,1995,5,1
"74","Australia",900,900,"Australia and New Zealand","Oceania","John Howard","Democracy",1996,2006,11,1
"75","Australia",900,900,"Australia and New Zealand","Oceania","Kevin Michael Rudd","Democracy",2007,2008,2,0
"76","Austria",305,305,"Western Europe","Europe","Leopold Figl","Democracy",1945,1952,8,1
"77","Austria",305,305,"Western Europe","Europe","Julius Raab","Democracy",1953,1960,8,1
"78","Austria",305,305,"Western Europe","Europe","Alfons Gorbach","Democracy",1961,1963,3,1
"79","Austria",305,305,"Western Europe","Europe","Josef Klaus","Democracy",1964,1969,6,1
"80","Austria",305,305,"Western Europe","Europe","Bruno Kreisky","Democracy",1970,1982,13,1
"81","Austria",305,305,"Western Europe","Europe","Alfred Sinowatz","Democracy",1983,1985,3,1
"82","Austria",305,305,"Western Europe","Europe","Franz Vranitzky","Democracy",1986,1996,11,1
"83","Austria",305,305,"Western Europe","Europe","Viktor Klima","Democracy",1997,1999,3,1
"84","Austria",305,305,"Western Europe","Europe","Wolfgang Schussel","Democracy",2000,2006,7,1
"85","Austria",305,305,"Western Europe","Europe","Alfred Gusenbauer","Democracy",2007,2008,2,0
"86","Azerbaijan",373,373,"Western Asia","Asia","Ayaz Mutalibov","Non-democracy",1990,1991,2,1
"87","Azerbaijan",373,373,"Western Asia","Asia","Abulfez Elchibey","Non-democracy",1992,1992,1,1
"88","Azerbaijan",373,373,"Western Asia","Asia","Heydar Aliyev","Non-democracy",1993,2002,10,0
"89","Azerbaijan",373,373,"Western Asia","Asia","Ilham Heydar oglu Aliyev","Non-democracy",2003,2008,6,0
"90","Bahamas",31,31,"Caribbean","Americas","Lynden Pindling","Democracy",1967,1991,25,1
"91","Bahamas",31,31,"Caribbean","Americas","Hubert Ingraham","Democracy",1992,2001,10,1
"92","Bahamas",31,31,"Caribbean","Americas","Perry Gladstone Christie","Democracy",2002,2006,5,1
"93","Bahamas",31,31,"Caribbean","Americas","Hubert Alexander Ingraham","Democracy",2007,2008,2,0
"94","Bahrain",692,692,"Western Asia","Asia","Sheikh 'Isa ibn Sulman Al Khalifah","Non-democracy",1961,1998,38,0
"95","Bahrain",692,692,"Western Asia","Asia","Sheikh Hamad ibn 'Isa Al Khalifah","Non-democracy",1999,2008,10,0
"96","Bangladesh",771,771,"Southern Asia","Asia","Tajuddin Ahmed","Non-democracy",1971,1971,1,1
"97","Bangladesh",771,771,"Southern Asia","Asia","Mujibur Rahman","Non-democracy",1972,1974,3,0
"98","Bangladesh",771,771,"Southern Asia","Asia","Abu Sadat Mohammad Sayem","Non-democracy",1975,1976,2,1
"99","Bangladesh",771,771,"Southern Asia","Asia","Zia ur-Rahman","Non-democracy",1977,1980,4,0
"100","Bangladesh",771,771,"Southern Asia","Asia","Abdus Sattar","Non-democracy",1981,1981,1,1
"101","Bangladesh",771,771,"Southern Asia","Asia","Hossain Mohammad Ershad","Non-democracy",1982,1985,4,1
"102","Bangladesh",771,771,"Southern Asia","Asia","Hossain Mohammad Ershad","Democracy",1986,1989,4,1
"103","Bangladesh",771,771,"Southern Asia","Asia","Shahabuddin Ahmed","Democracy",1990,1990,1,1
"104","Bangladesh",771,771,"Southern Asia","Asia","Khaleda Zia","Democracy",1991,1995,5,1
"105","Bangladesh",771,771,"Southern Asia","Asia","Sheikh Hasina Wajed","Democracy",1996,2000,5,1
"106","Bangladesh",771,771,"Southern Asia","Asia","Khaleda Zia","Democracy",2001,2006,6,1
"107","Bangladesh",771,771,"Southern Asia","Asia","military","Non-democracy",2007,2008,2,0
"108","Barbados",53,53,"Caribbean","Americas","Errol Barrow","Democracy",1961,1975,15,1
"109","Barbados",53,53,"Caribbean","Americas","John Adams","Democracy",1976,1984,9,0
"110","Barbados",53,53,"Caribbean","Americas","Bernard St. John","Democracy",1985,1985,1,1
"111","Barbados",53,53,"Caribbean","Americas","Errol Barrow","Democracy",1986,1986,1,0
"112","Barbados",53,53,"Caribbean","Americas","Erskine Sandiford","Democracy",1987,1993,7,1
"113","Barbados",53,53,"Caribbean","Americas","Owen Arthur","Democracy",1994,2007,14,1
"114","Barbados",53,53,"Caribbean","Americas","David Thompson","Democracy",2008,2008,1,0
"115","Belarus",370,370,"Eastern Europe","Europe","Stanislau Shushkevich","Non-democracy",1991,1993,3,1
"116","Belarus",370,370,"Eastern Europe","Europe","Alyaksandr Lukashenka","Non-democracy",1994,2008,15,0
"117","Belgium",211,211,"Western Europe","Europe","Camille Huysmans","Democracy",1946,1946,1,1
"118","Belgium",211,211,"Western Europe","Europe","Paul-Henri Spaak","Democracy",1947,1948,2,1
"119","Belgium",211,211,"Western Europe","Europe","Gaston Eyskens","Democracy",1949,1949,1,1
"120","Belgium",211,211,"Western Europe","Europe","Joseph Pholien","Democracy",1950,1951,2,1
"121","Belgium",211,211,"Western Europe","Europe","Jean van Houtte","Democracy",1952,1953,2,1
"122","Belgium",211,211,"Western Europe","Europe","Achille van Acker","Democracy",1954,1957,4,1
"123","Belgium",211,211,"Western Europe","Europe","Gaston Eyskens","Democracy",1958,1960,3,1
"124","Belgium",211,211,"Western Europe","Europe","Theodore Lefevre","Democracy",1961,1964,4,1
"125","Belgium",211,211,"Western Europe","Europe","Pierre Harmel","Democracy",1965,1965,1,1
"126","Belgium",211,211,"Western Europe","Europe","Paul van den Boeynants","Democracy",1966,1967,2,1
"127","Belgium",211,211,"Western Europe","Europe","Gaston Eyskens","Democracy",1968,1972,5,1
"128","Belgium",211,211,"Western Europe","Europe","Edmond Leburton","Democracy",1973,1973,1,1
"129","Belgium",211,211,"Western Europe","Europe","Leo Tindemans","Democracy",1974,1977,4,1
"130","Belgium",211,211,"Western Europe","Europe","Paul van den Boeynants","Democracy",1978,1978,1,1
"131","Belgium",211,211,"Western Europe","Europe","Wilfried Martens","Democracy",1979,1991,13,1
"132","Belgium",211,211,"Western Europe","Europe","Jean-Luc Dehaene","Democracy",1992,1998,7,1
"133","Belgium",211,211,"Western Europe","Europe","Guy Verhofstadt","Democracy",1999,2007,9,1
"134","Belgium",211,211,"Western Europe","Europe","Herman Van Rompuy","Democracy",2008,2008,1,0
"135","Belize",80,80,"Central America","Americas","George Cadle Price","Democracy",1961,1983,23,1
"136","Belize",80,80,"Central America","Americas","Manuel Esquivel","Democracy",1984,1988,5,1
"137","Belize",80,80,"Central America","Americas","George Cadle Price","Democracy",1989,1992,4,1
"138","Belize",80,80,"Central America","Americas","Manuel Esquivel","Democracy",1993,1997,5,1
"139","Belize",80,80,"Central America","Americas","Said Musa","Democracy",1998,2007,10,1
"140","Belize",80,80,"Central America","Americas","Dean Oliver Barrow","Democracy",2008,2008,1,0
"141","Benin",434,434,"Western Africa","Africa","Hubert Maga","Non-democracy",1960,1962,3,1
"142","Benin",434,434,"Western Africa","Africa","Christophe Soglo","Non-democracy",1963,1966,4,1
"143","Benin",434,434,"Western Africa","Africa","Alphonse Alley","Non-democracy",1967,1967,1,1
"144","Benin",434,434,"Western Africa","Africa","military","Non-democracy",1968,1969,2,1
"145","Benin",434,434,"Western Africa","Africa","Hubert Maga","Non-democracy",1970,1971,2,1
"146","Benin",434,434,"Western Africa","Africa","Mathieu Kerekou","Non-democracy",1972,1990,19,1
"147","Benin",434,434,"Western Africa","Africa","Nicephore Soglo","Democracy",1991,1995,5,1
"148","Benin",434,434,"Western Africa","Africa","Mathieu Kerekou","Democracy",1996,2005,10,1
"149","Benin",434,434,"Western Africa","Africa","Yayi Boni","Democracy",2006,2008,3,0
"150","Bhutan",760,760,"Southern Asia","Asia","Jigme Wangchuk","Non-democracy",1926,1951,26,0
"151","Bhutan",760,760,"Southern Asia","Asia","Jigme Dorji Wangchuk","Non-democracy",1952,1971,20,0
"152","Bhutan",760,760,"Southern Asia","Asia","Jigme Singye Wangchuk","Non-democracy",1972,2006,35,1
"153","Bhutan",760,760,"Southern Asia","Asia","Kinzang Dorji","Democracy",2007,2007,1,1
"154","Bhutan",760,760,"Southern Asia","Asia","Jigme Thinley","Democracy",2008,2008,1,0
"155","Bolivia",145,145,"South America","Americas","Military","Non-democracy",1946,1946,1,1
"156","Bolivia",145,145,"South America","Americas","Enrique Hertzog","Non-democracy",1947,1948,2,1
"157","Bolivia",145,145,"South America","Americas","Mamerto Urriolagoitia","Non-democracy",1949,1950,2,1
"158","Bolivia",145,145,"South America","Americas","Hugo Ballivion Rojas","Non-democracy",1951,1951,1,1
"159","Bolivia",145,145,"South America","Americas","Victor Paz Estenssoro","Non-democracy",1952,1955,4,1
"160","Bolivia",145,145,"South America","Americas","Hernan Siles Zuazo","Non-democracy",1956,1959,4,1
"161","Bolivia",145,145,"South America","Americas","Victor Paz Estenssoro","Non-democracy",1960,1963,4,1
"162","Bolivia",145,145,"South America","Americas","Rene Barrientos Ortuno","Non-democracy",1964,1964,1,1
"163","Bolivia",145,145,"South America","Americas","Rene Barrientos Ortuno+Alfredo Ovando Candia","Non-democracy",1965,1965,1,1
"164","Bolivia",145,145,"South America","Americas","Rene Barrientos Ortuno","Non-democracy",1966,1968,3,0
"165","Bolivia",145,145,"South America","Americas","Alfredo Ovando Candia","Non-democracy",1969,1969,1,1
"166","Bolivia",145,145,"South America","Americas","Juan Torres Gonzalez","Non-democracy",1970,1970,1,1
"167","Bolivia",145,145,"South America","Americas","Hugo Banzer Suarez","Non-democracy",1971,1977,7,1
"168","Bolivia",145,145,"South America","Americas","David Padilla Arancibia","Non-democracy",1978,1978,1,1
"169","Bolivia",145,145,"South America","Americas","Lidia Gueiler Tejada","Democracy",1979,1979,1,1
"170","Bolivia",145,145,"South America","Americas","Luis Garcia Meza Tejada","Non-democracy",1980,1980,1,1
"171","Bolivia",145,145,"South America","Americas","Celso Torrelio Villa","Non-democracy",1981,1981,1,1
"172","Bolivia",145,145,"South America","Americas","Hernan Siles Zuazo","Democracy",1982,1984,3,1
"173","Bolivia",145,145,"South America","Americas","Victor Paz Estenssoro","Democracy",1985,1988,4,1
"174","Bolivia",145,145,"South America","Americas","Jaime Paz Zamoro","Democracy",1989,1992,4,1
"175","Bolivia",145,145,"South America","Americas","Gonzalo Sanchez de Lozada","Democracy",1993,1996,4,1
"176","Bolivia",145,145,"South America","Americas","Hugo Banzer Suarez","Democracy",1997,2000,4,1
"177","Bolivia",145,145,"South America","Americas","Jorge Fernando Quiroga Ramirez","Democracy",2001,2001,1,1
"178","Bolivia",145,145,"South America","Americas","Gonzalo Sanchez de Lozada","Democracy",2002,2002,1,1
"179","Bolivia",145,145,"South America","Americas","Carlos Diego Mesa Gisbert","Democracy",2003,2004,2,1
"180","Bolivia",145,145,"South America","Americas","Eduardo Rodrï¿½guez Veltzï¿½","Democracy",2005,2005,1,1
"181","Bolivia",145,145,"South America","Americas","Juan Evo Morales Ayma","Democracy",2006,2008,3,0
"182","Bosnia and Herzegovina",346,346,"Southern Europe","Europe","Alija Izetbegovic","Non-democracy",1990,1997,8,1
"183","Bosnia and Herzegovina",346,346,"Southern Europe","Europe","Zivko Radisic","Non-democracy",1998,1998,1,1
"184","Bosnia and Herzegovina",346,346,"Southern Europe","Europe","Ante Jelavic","Non-democracy",1999,1999,1,1
"185","Bosnia and Herzegovina",346,346,"Southern Europe","Europe","Zivko Radisic","Non-democracy",2000,2000,1,1
"186","Bosnia and Herzegovina",346,346,"Southern Europe","Europe","Jozo Krizanovic","Non-democracy",2001,2001,1,1
"187","Bosnia and Herzegovina",346,346,"Southern Europe","Europe","Mirko Sarovic","Non-democracy",2002,2002,1,1
"188","Bosnia and Herzegovina",346,346,"Southern Europe","Europe","Dragan Kovic","Non-democracy",2003,2003,1,1
"189","Bosnia and Herzegovina",346,346,"Southern Europe","Europe","Borislav Paravac","Non-democracy",2004,2004,1,1
"190","Bosnia and Herzegovina",346,346,"Southern Europe","Europe","Ivo Miro Jovic","Non-democracy",2005,2005,1,1
"191","Bosnia and Herzegovina",346,346,"Southern Europe","Europe","Nebojsa Radmanovic","Non-democracy",2006,2006,1,1
"192","Bosnia and Herzegovina",346,346,"Southern Europe","Europe","Zeljko Komsic","Non-democracy",2007,2007,1,1
"193","Bosnia and Herzegovina",346,346,"Southern Europe","Europe","Nebojsa Radmanovic","Non-democracy",2008,2008,1,0
"194","Botswana",571,571,"Southern Africa","Africa","Seretse Khama","Non-democracy",1965,1979,15,0
"195","Botswana",571,571,"Southern Africa","Africa","Quett Masire","Non-democracy",1980,1997,18,1
"196","Botswana",571,571,"Southern Africa","Africa","Festus Mogae","Non-democracy",1998,2007,10,1
"197","Botswana",571,571,"Southern Africa","Africa","Seretse Khama Ian Khama","Non-democracy",2008,2008,1,0
"198","Brazil",140,140,"South America","Americas","Eurico Dutra","Democracy",1946,1950,5,1
"199","Brazil",140,140,"South America","Americas","Getulio Vargas","Democracy",1951,1953,3,0
"200","Brazil",140,140,"South America","Americas","Joao Cafe","Democracy",1954,1954,1,1
"201","Brazil",140,140,"South America","Americas","Nereu Ramos","Democracy",1955,1955,1,1
"202","Brazil",140,140,"South America","Americas","Juscelino Kubitschek","Democracy",1956,1960,5,1
"203","Brazil",140,140,"South America","Americas","Tancredo de Almeida Neves","Democracy",1961,1961,1,1
"204","Brazil",140,140,"South America","Americas","Hermes Lima","Democracy",1962,1962,1,1
"205","Brazil",140,140,"South America","Americas","Joao Belchior Marques Goulart","Democracy",1963,1963,1,1
"206","Brazil",140,140,"South America","Americas","Humberto de Alencar Castello Branco","Non-democracy",1964,1966,3,1
"207","Brazil",140,140,"South America","Americas","Artur da Costa e Silva","Non-democracy",1967,1968,2,1
"208","Brazil",140,140,"South America","Americas","Emilio Medici","Non-democracy",1969,1973,5,1
"209","Brazil",140,140,"South America","Americas","Ernesto Geisel","Non-democracy",1974,1978,5,1
"210","Brazil",140,140,"South America","Americas","Joao Figueiredo","Non-democracy",1979,1984,6,1
"211","Brazil",140,140,"South America","Americas","Jose Sarney","Democracy",1985,1989,5,1
"212","Brazil",140,140,"South America","Americas","Fernando Collor de Mello","Democracy",1990,1991,2,1
"213","Brazil",140,140,"South America","Americas","Itamar Franco","Democracy",1992,1994,3,1
"214","Brazil",140,140,"South America","Americas","Fernando Henrique Cardoso","Democracy",1995,2002,8,1
"215","Brazil",140,140,"South America","Americas","Luiz Inï¿½cio Lula da Silva","Democracy",2003,2008,6,0
"216","Brunei Darussalam",835,835,"South-Eastern Asia","Asia","Hassanal Bolkiah","Non-democracy",1967,2008,42,0
"217","Bulgaria",355,355,"Eastern Europe","Europe","Georgi Dimitrov","Non-democracy",1945,1948,4,0
"218","Bulgaria",355,355,"Eastern Europe","Europe","Vasil Petrov Kolarov","Non-democracy",1949,1949,1,0
"219","Bulgaria",355,355,"Eastern Europe","Europe","Vulko Chervenkov","Non-democracy",1950,1953,4,1
"220","Bulgaria",355,355,"Eastern Europe","Europe","Todor Zhivkov","Non-democracy",1954,1988,35,1
"221","Bulgaria",355,355,"Eastern Europe","Europe","Peter Mladenov","Non-democracy",1989,1989,1,1
"222","Bulgaria",355,355,"Eastern Europe","Europe","Dimitur Popov","Democracy",1990,1990,1,1
"223","Bulgaria",355,355,"Eastern Europe","Europe","Filip Dimitrov","Democracy",1991,1991,1,1
"224","Bulgaria",355,355,"Eastern Europe","Europe","Lyuben Berov","Democracy",1992,1993,2,1
"225","Bulgaria",355,355,"Eastern Europe","Europe","Reneta Indzhova","Democracy",1994,1994,1,1
"226","Bulgaria",355,355,"Eastern Europe","Europe","Zhan Videnov","Democracy",1995,1996,2,1
"227","Bulgaria",355,355,"Eastern Europe","Europe","Ivan Kostov","Democracy",1997,2000,4,1
"228","Bulgaria",355,355,"Eastern Europe","Europe","Simeon Borisov Sakskoburggotski","Democracy",2001,2004,4,1
"229","Bulgaria",355,355,"Eastern Europe","Europe","Sergey Dimitrievich Stanishev","Democracy",2005,2008,4,0
"230","Burkina Faso",439,439,"Western Africa","Africa","Maurice Yameogo","Non-democracy",1958,1965,8,1
"231","Burkina Faso",439,439,"Western Africa","Africa","Sangoule Lamizana","Non-democracy",1966,1979,14,1
"232","Burkina Faso",439,439,"Western Africa","Africa","Saye Zerbo","Non-democracy",1980,1981,2,1
"233","Burkina Faso",439,439,"Western Africa","Africa","Jean-Baptiste Ouedraogo","Non-democracy",1982,1982,1,1
"234","Burkina Faso",439,439,"Western Africa","Africa","Thomas Sankara","Non-democracy",1983,1986,4,0
"235","Burkina Faso",439,439,"Western Africa","Africa","Blaise Compaor","Non-democracy",1987,2008,22,0
"236","Burundi",516,516,"Eastern Africa","Africa","Mwambutsa IV","Non-democracy",1915,1965,51,1
"237","Burundi",516,516,"Eastern Africa","Africa","Michel Micombero","Non-democracy",1966,1975,10,1
"238","Burundi",516,516,"Eastern Africa","Africa","Jean-Baptiste Bagaza","Non-democracy",1976,1986,11,1
"239","Burundi",516,516,"Eastern Africa","Africa","Pierre Buyoya","Non-democracy",1987,1992,6,1
"240","Burundi",516,516,"Eastern Africa","Africa","Sylvie Kinigi","Democracy",1993,1993,1,1
"241","Burundi",516,516,"Eastern Africa","Africa","Sylvestre Ntibantunganya","Democracy",1994,1995,2,1
"242","Burundi",516,516,"Eastern Africa","Africa","Pierre Buyoya","Non-democracy",1996,2002,7,1
"243","Burundi",516,516,"Eastern Africa","Africa","Domitien Ndayizeye","Non-democracy",2003,2004,2,1
"244","Burundi",516,516,"Eastern Africa","Africa","Pierre Nkurunziza","Democracy",2005,2008,4,0
"245","Cambodia",811,811,"South-Eastern Asia","Asia","Norodom Sihanouk","Non-democracy",1941,1965,25,1
"246","Cambodia",811,811,"South-Eastern Asia","Asia","Lon Nol","Non-democracy",1966,1966,1,1
"247","Cambodia",811,811,"South-Eastern Asia","Asia","Norodom Sihanouk","Non-democracy",1967,1968,2,1
"248","Cambodia",811,811,"South-Eastern Asia","Asia","Lon Nol","Non-democracy",1969,1974,6,1
"249","Cambodia",811,811,"South-Eastern Asia","Asia","Norodom Sihanouk","Non-democracy",1975,1975,1,1
"250","Cambodia",811,811,"South-Eastern Asia","Asia","Pol Pot","Non-democracy",1976,1978,3,1
"251","Cambodia",811,811,"South-Eastern Asia","Asia","Heng Samrin","Non-democracy",1979,1990,12,1
"252","Cambodia",811,811,"South-Eastern Asia","Asia","Norodom Sihanouk","Non-democracy",1991,1992,2,1
"253","Cambodia",811,811,"South-Eastern Asia","Asia","Hun Sen + Ranariddh","Non-democracy",1993,1996,4,1
"254","Cambodia",811,811,"South-Eastern Asia","Asia","Hun Sen","Non-democracy",1997,2008,12,0
"255","Cameroon",471,471,"Middle Africa","Africa","Ahmadou Ahidjo","Non-democracy",1959,1981,23,1
"256","Cameroon",471,471,"Middle Africa","Africa","Paul Biya","Non-democracy",1982,2008,27,0
"257","Canada",20,20,"Northern America","Americas","W. MacKenzie King","Democracy",1935,1947,13,1
"258","Canada",20,20,"Northern America","Americas","Louis Saint Laurent","Democracy",1948,1956,9,1
"259","Canada",20,20,"Northern America","Americas","John Diefenbaker","Democracy",1957,1962,6,1
"260","Canada",20,20,"Northern America","Americas","Lester Pearson","Democracy",1963,1967,5,1
"261","Canada",20,20,"Northern America","Americas","Pierre Elliott Trudeau","Democracy",1968,1978,11,1
"262","Canada",20,20,"Northern America","Americas","Joe Clark","Democracy",1979,1979,1,1
"263","Canada",20,20,"Northern America","Americas","Pierre Elliott Trudeau","Democracy",1980,1983,4,1
"264","Canada",20,20,"Northern America","Americas","Brian Mulroney","Democracy",1984,1992,9,1
"265","Canada",20,20,"Northern America","Americas","Jean Chretien","Democracy",1993,2002,10,1
"266","Canada",20,20,"Northern America","Americas","Paul Joseph Martin, Jr.","Democracy",2003,2005,3,1
"267","Canada",20,20,"Northern America","Americas","Stephen Joseph Harper","Democracy",2006,2008,3,0
"268","Cape Verde",402,402,"Western Africa","Africa","Aristides Pereira","Non-democracy",1974,1989,16,1
"269","Cape Verde",402,402,"Western Africa","Africa","Aristides Pereira","Democracy",1990,1990,1,1
"270","Cape Verde",402,402,"Western Africa","Africa","Carlos Veiga","Democracy",1991,1999,9,1
"271","Cape Verde",402,402,"Western Africa","Africa","Antonio Gualberto do Rosario","Democracy",2000,2000,1,1
"272","Cape Verde",402,402,"Western Africa","Africa","Jose Neves","Democracy",2001,2008,8,0
"273","Central African Republic",482,482,"Middle Africa","Africa","David Dacko","Non-democracy",1960,1965,6,1
