"","ctryname","cowcode2","politycode","un_region_name","un_continent_name","ehead","democracy","leaderspelldem","begindateleaderdem","enddateleaderdem","tenuredem","rightcensdem","coldwar"
"96","Austria",305,305,"Western Europe","Europe","Alfred Gusenbauer","Democracy","Alfred Gusenbauer.Austria.2007.2008.Democracy",2007,2008,2,0,FALSE
"97","Azerbaijan",373,373,"Western Asia","Asia","Ayaz Mutalibov","Non-democracy","Ayaz Mutalibov.Azerbaijan.1991.1991.Non-democracy",1990,1991,2,1,FALSE
"98","Azerbaijan",373,373,"Western Asia","Asia","Abulfez Elchibey","Non-democracy","Abulfez Elchibey.Azerbaijan.1992.1992.Non-democracy",1992,1992,1,1,FALSE
"99","Azerbaijan",373,373,"Western Asia","Asia","Heydar Aliyev","Non-democracy","Heydar Aliyev.Azerbaijan.1993.2002.Non-democracy",1993,2002,10,0,FALSE
"100","Azerbaijan",373,373,"Western Asia","Asia","Ilham Heydar oglu Aliyev","Non-democracy","Ilham Heydar oglu Aliyev.Azerbaijan.2003.2008.Non-democracy",2003,2008,6,0,FALSE
"101","Bahamas",31,31,"Caribbean","Americas","Lynden Pindling","Democracy","Lynden Pindling.Bahamas.1973.1991.Democracy",1967,1989,23,1,TRUE
"102","Bahamas",31,31,"Caribbean","Americas","Lynden Pindling","Democracy","Lynden Pindling.Bahamas.1973.1991.Democracy",1990,1991,2,1,FALSE
"103","Bahamas",31,31,"Caribbean","Americas","Hubert Ingraham","Democracy","Hubert Ingraham.Bahamas.1992.2001.Democracy",1992,2001,10,1,FALSE
"104","Bahamas",31,31,"Caribbean","Americas","Perry Gladstone Christie","Democracy","Perry Gladstone Christie.Bahamas.2002.2006.Democracy",2002,2006,5,1,FALSE
"105","Bahamas",31,31,"Caribbean","Americas","Hubert Alexander Ingraham","Democracy","Hubert Alexander Ingraham.Bahamas.2007.2008.Democracy",2007,2008,2,0,FALSE
"106","Bahrain",692,692,"Western Asia","Asia","Sheikh 'Isa ibn Sulman Al Khalifah","Non-democracy","Sheikh 'Isa ibn Sulman Al Khalifah.Bahrain.1971.1998.Non-democracy",1961,1989,29,0,TRUE
"107","Bahrain",692,692,"Western Asia","Asia","Sheikh 'Isa ibn Sulman Al Khalifah","Non-democracy","Sheikh 'Isa ibn Sulman Al Khalifah.Bahrain.1971.1998.Non-democracy",1990,1998,9,0,FALSE
"108","Bahrain",692,692,"Western Asia","Asia","Sheikh Hamad ibn 'Isa Al Khalifah","Non-democracy","Sheikh Hamad ibn 'Isa Al Khalifah.Bahrain.1999.2008.Non-democracy",1999,2008,10,0,FALSE
"109","Bangladesh",771,771,"Southern Asia","Asia","Tajuddin Ahmed","Non-democracy","Tajuddin Ahmed.Bangladesh.1971.1971.Non-democracy",1971,1971,1,1,TRUE
"110","Bangladesh",771,771,"Southern Asia","Asia","Mujibur Rahman","Non-democracy","Mujibur Rahman.Bangladesh.1972.1974.Non-democracy",1972,1974,3,0,TRUE
"111","Bangladesh",771,771,"Southern Asia","Asia","Abu Sadat Mohammad Sayem","Non-democracy","Abu Sadat Mohammad Sayem.Bangladesh.1975.1976.Non-democracy",1975,1976,2,1,TRUE
"112","Bangladesh",771,771,"Southern Asia","Asia","Zia ur-Rahman","Non-democracy","Zia ur-Rahman.Bangladesh.1977.1980.Non-democracy",1977,1980,4,0,TRUE
"113","Bangladesh",771,771,"Southern Asia","Asia","Abdus Sattar","Non-democracy","Abdus Sattar.Bangladesh.1981.1981.Non-democracy",1981,1981,1,1,TRUE
"114","Bangladesh",771,771,"Southern Asia","Asia","Hossain Mohammad Ershad","Non-democracy","Hossain Mohammad Ershad.Bangladesh.1982.1985.Non-democracy",1982,1985,4,1,TRUE
"115","Bangladesh",771,771,"Southern Asia","Asia","Hossain Mohammad Ershad","Democracy","Hossain Mohammad Ershad.Bangladesh.1986.1989.Democracy",1986,1989,4,1,TRUE
"116","Bangladesh",771,771,"Southern Asia","Asia","Shahabuddin Ahmed","Democracy","Shahabuddin Ahmed.Bangladesh.1990.1990.Democracy",1990,1990,1,1,FALSE
"117","Bangladesh",771,771,"Southern Asia","Asia","Khaleda Zia","Democracy","Khaleda Zia.Bangladesh.1991.1995.Democracy",1991,1995,5,1,FALSE
"118","Bangladesh",771,771,"Southern Asia","Asia","Sheikh Hasina Wajed","Democracy","Sheikh Hasina Wajed.Bangladesh.1996.2000.Democracy",1996,2000,5,1,FALSE
"119","Bangladesh",771,771,"Southern Asia","Asia","Khaleda Zia","Democracy","Khaleda Zia.Bangladesh.2001.2006.Democracy",2001,2006,6,1,FALSE
"120","Bangladesh",771,771,"Southern Asia","Asia","military","Non-democracy","military.Bangladesh.2007.2008.Non-democracy",2007,2008,2,0,FALSE
"121","Barbados",53,53,"Caribbean","Americas","Errol Barrow","Democracy","Errol Barrow.Barbados.1966.1975.Democracy",1961,1975,15,1,TRUE
"122","Barbados",53,53,"Caribbean","Americas","John Adams","Democracy","John Adams.Barbados.1976.1984.Democracy",1976,1984,9,0,TRUE
"123","Barbados",53,53,"Caribbean","Americas","Bernard St. John","Democracy","Bernard St. John.Barbados.1985.1985.Democracy",1985,1985,1,1,TRUE
"124","Barbados",53,53,"Caribbean","Americas","Errol Barrow","Democracy","Errol Barrow.Barbados.1986.1986.Democracy",1986,1986,1,0,TRUE
"125","Barbados",53,53,"Caribbean","Americas","Erskine Sandiford","Democracy","Erskine Sandiford.Barbados.1987.1993.Democracy",1987,1989,3,1,TRUE
"126","Barbados",53,53,"Caribbean","Americas","Erskine Sandiford","Democracy","Erskine Sandiford.Barbados.1987.1993.Democracy",1990,1993,4,1,FALSE
"127","Barbados",53,53,"Caribbean","Americas","Owen Arthur","Democracy","Owen Arthur.Barbados.1994.2007.Democracy",1994,2007,14,1,FALSE
"128","Barbados",53,53,"Caribbean","Americas","David Thompson","Democracy","David Thompson.Barbados.2008.2008.Democracy",2008,2008,1,0,FALSE
"129","Belarus",370,370,"Eastern Europe","Europe","Stanislau Shushkevich","Non-democracy","Stanislau Shushkevich.Belarus.1991.1993.Non-democracy",1991,1993,3,1,FALSE
"130","Belarus",370,370,"Eastern Europe","Europe","Alyaksandr Lukashenka","Non-democracy","Alyaksandr Lukashenka.Belarus.1994.2008.Non-democracy",1994,2008,15,0,FALSE
"131","Belgium",211,211,"Western Europe","Europe","Camille Huysmans","Democracy","Camille Huysmans.Belgium.1946.1946.Democracy",1946,1946,1,1,TRUE
"132","Belgium",211,211,"Western Europe","Europe","Paul-Henri Spaak","Democracy","Paul-Henri Spaak.Belgium.1947.1948.Democracy",1947,1948,2,1,TRUE
"133","Belgium",211,211,"Western Europe","Europe","Gaston Eyskens","Democracy","Gaston Eyskens.Belgium.1949.1949.Democracy",1949,1949,1,1,TRUE
"134","Belgium",211,211,"Western Europe","Europe","Joseph Pholien","Democracy","Joseph Pholien.Belgium.1950.1951.Democracy",1950,1951,2,1,TRUE
"135","Belgium",211,211,"Western Europe","Europe","Jean van Houtte","Democracy","Jean van Houtte.Belgium.1952.1953.Democracy",1952,1953,2,1,TRUE
"136","Belgium",211,211,"Western Europe","Europe","Achille van Acker","Democracy","Achille van Acker.Belgium.1954.1957.Democracy",1954,1957,4,1,TRUE
"137","Belgium",211,211,"Western Europe","Europe","Gaston Eyskens","Democracy","Gaston Eyskens.Belgium.1958.1960.Democracy",1958,1960,3,1,TRUE
"138","Belgium",211,211,"Western Europe","Europe","Theodore Lefevre","Democracy","Theodore Lefevre.Belgium.1961.1964.Democracy",1961,1964,4,1,TRUE
"139","Belgium",211,211,"Western Europe","Europe","Pierre Harmel","Democracy","Pierre Harmel.Belgium.1965.1965.Democracy",1965,1965,1,1,TRUE
"140","Belgium",211,211,"Western Europe","Europe","Paul van den Boeynants","Democracy","Paul van den Boeynants.Belgium.1966.1967.Democracy",1966,1967,2,1,TRUE
"141","Belgium",211,211,"Western Europe","Europe","Gaston Eyskens","Democracy","Gaston Eyskens.Belgium.1968.1972.Democracy",1968,1972,5,1,TRUE
"142","Belgium",211,211,"Western Europe","Europe","Edmond Leburton","Democracy","Edmond Leburton.Belgium.1973.1973.Democracy",1973,1973,1,1,TRUE
"143","Belgium",211,211,"Western Europe","Europe","Leo Tindemans","Democracy","Leo Tindemans.Belgium.1974.1977.Democracy",1974,1977,4,1,TRUE
"144","Belgium",211,211,"Western Europe","Europe","Paul van den Boeynants","Democracy","Paul van den Boeynants.Belgium.1978.1978.Democracy",1978,1978,1,1,TRUE
"145","Belgium",211,211,"Western Europe","Europe","Wilfried Martens","Democracy","Wilfried Martens.Belgium.1979.1991.Democracy",1979,1989,11,1,TRUE
"146","Belgium",211,211,"Western Europe","Europe","Wilfried Martens","Democracy","Wilfried Martens.Belgium.1979.1991.Democracy",1990,1991,2,1,FALSE
"147","Belgium",211,211,"Western Europe","Europe","Jean-Luc Dehaene","Democracy","Jean-Luc Dehaene.Belgium.1992.1998.Democracy",1992,1998,7,1,FALSE
"148","Belgium",211,211,"Western Europe","Europe","Guy Verhofstadt","Democracy","Guy Verhofstadt.Belgium.1999.2007.Democracy",1999,2007,9,1,FALSE
"149","Belgium",211,211,"Western Europe","Europe","Herman Van Rompuy","Democracy","Herman Van Rompuy.Belgium.2008.2008.Democracy",2008,2008,1,0,FALSE
"150","Belize",80,80,"Central America","Americas","George Cadle Price","Democracy","George Cadle Price.Belize.1981.1983.Democracy",1961,1983,23,1,TRUE
"151","Belize",80,80,"Central America","Americas","Manuel Esquivel","Democracy","Manuel Esquivel.Belize.1984.1988.Democracy",1984,1988,5,1,TRUE
"152","Belize",80,80,"Central America","Americas","George Cadle Price","Democracy","George Cadle Price.Belize.1989.1992.Democracy",1989,1992,4,1,FALSE
"153","Belize",80,80,"Central America","Americas","Manuel Esquivel","Democracy","Manuel Esquivel.Belize.1993.1997.Democracy",1993,1997,5,1,FALSE
"154","Belize",80,80,"Central America","Americas","Said Musa","Democracy","Said Musa.Belize.1998.2007.Democracy",1998,2007,10,1,FALSE
"155","Belize",80,80,"Central America","Americas","Dean Oliver Barrow","Democracy","Dean Oliver Barrow.Belize.2008.2008.Democracy",2008,2008,1,0,FALSE
"156","Benin",434,434,"Western Africa","Africa","Hubert Maga","Non-democracy","Hubert Maga.Benin.1960.1962.Non-democracy",1960,1962,3,1,TRUE
"157","Benin",434,434,"Western Africa","Africa","Christophe Soglo","Non-democracy","Christophe Soglo.Benin.1963.1966.Non-democracy",1963,1966,4,1,TRUE
"158","Benin",434,434,"Western Africa","Africa","Alphonse Alley","Non-democracy","Alphonse Alley.Benin.1967.1967.Non-democracy",1967,1967,1,1,TRUE
"159","Benin",434,434,"Western Africa","Africa","military","Non-democracy","military.Benin.1968.1969.Non-democracy",1968,1969,2,1,TRUE
"160","Benin",434,434,"Western Africa","Africa","Hubert Maga","Non-democracy","Hubert Maga.Benin.1970.1971.Non-democracy",1970,1971,2,1,TRUE
"161","Benin",434,434,"Western Africa","Africa","Mathieu Kerekou","Non-democracy","Mathieu Kerekou.Benin.1972.1990.Non-democracy",1972,1989,18,1,TRUE
"162","Benin",434,434,"Western Africa","Africa","Mathieu Kerekou","Non-democracy","Mathieu Kerekou.Benin.1972.1990.Non-democracy",1990,1990,1,1,FALSE
"163","Benin",434,434,"Western Africa","Africa","Nicephore Soglo","Democracy","Nicephore Soglo.Benin.1991.1995.Democracy",1991,1995,5,1,FALSE
"164","Benin",434,434,"Western Africa","Africa","Mathieu Kerekou","Democracy","Mathieu Kerekou.Benin.1996.2005.Democracy",1996,2005,10,1,FALSE
"165","Benin",434,434,"Western Africa","Africa","Yayi Boni","Democracy","Yayi Boni.Benin.2006.2008.Democracy",2006,2008,3,0,FALSE
"166","Bhutan",760,760,"Southern Asia","Asia","Jigme Wangchuk","Non-democracy","Jigme Wangchuk.Bhutan.1946.1951.Non-democracy",1926,1945,20,0,FALSE
"167","Bhutan",760,760,"Southern Asia","Asia","Jigme Wangchuk","Non-democracy","Jigme Wangchuk.Bhutan.1946.1951.Non-democracy",1946,1951,6,0,TRUE
