order,ctryname,cowcode,un_region_name,un_continent_name,ehead,democracy,regime,leaderspellreg,tenurereg,edatereg,rightcensreg
27,Andorra,232,Southern Europe,Europe,Oscar Ribas Reig,Democracy,Parliamentary Dem,Oscar Ribas Reig.Andorra.1993.Parliamentary Dem,1,1993,1
28,Andorra,232,Southern Europe,Europe,Marc Forne Molne,Democracy,Parliamentary Dem,Marc Forne Molne.Andorra.1994.Parliamentary Dem,11,1994,1
29,Andorra,232,Southern Europe,Europe,Albert Pintat Santolï¿½ria,Democracy,Parliamentary Dem,Albert Pintat Santolï¿½ria.Andorra.2005.Parliamentary Dem,4,2005,0
30,Angola,540,Middle Africa,Africa,Agostinho Neto,Non-democracy,Civilian Dict,Agostinho Neto.Angola.1975.Civilian Dict,4,1975,0
31,Angola,540,Middle Africa,Africa,Jose Eduardo dos Santos,Non-democracy,Civilian Dict,Jose Eduardo dos Santos.Angola.1979.Civilian Dict,30,1979,0
32,Antigua & Barbuda,58,Caribbean,Americas,Vere Cornwall Bird,Democracy,Parliamentary Dem,Vere Cornwall Bird.Antigua & Barbuda.1981.Parliamentary Dem,13,1981,1
33,Antigua & Barbuda,58,Caribbean,Americas,Lester Bird,Democracy,Parliamentary Dem,Lester Bird.Antigua & Barbuda.1994.Parliamentary Dem,10,1994,1
34,Antigua & Barbuda,58,Caribbean,Americas,Baldwin Spencer,Democracy,Parliamentary Dem,Baldwin Spencer.Antigua & Barbuda.2004.Parliamentary Dem,5,2004,0
35,Argentina,160,South America,Americas,Juan Peron,Democracy,Presidential Dem,Juan Peron.Argentina.1946.Presidential Dem,9,1946,1
36,Argentina,160,South America,Americas,Pedro Eugenio Aramburu Cilveti,Non-democracy,Military Dict,Pedro Eugenio Aramburu Cilveti.Argentina.1955.Military Dict,3,1955,1
37,Argentina,160,South America,Americas,Arturo Frondizi,Democracy,Presidential Dem,Arturo Frondizi.Argentina.1958.Presidential Dem,4,1958,1
38,Argentina,160,South America,Americas,Military,Non-democracy,Military Dict,Military.Argentina.1962.Military Dict,1,1962,1
39,Argentina,160,South America,Americas,Arturo Umberto Illia,Democracy,Presidential Dem,Arturo Umberto Illia.Argentina.1963.Presidential Dem,3,1963,1
40,Argentina,160,South America,Americas,Juan Carlos Ongania,Non-democracy,Military Dict,Juan Carlos Ongania.Argentina.1966.Military Dict,4,1966,1
41,Argentina,160,South America,Americas,Roberto Marcelo Levingston,Non-democracy,Military Dict,Roberto Marcelo Levingston.Argentina.1970.Military Dict,1,1970,1
42,Argentina,160,South America,Americas,Alejandro Agustan Lanusse,Non-democracy,Military Dict,Alejandro Agustan Lanusse.Argentina.1971.Military Dict,2,1971,1
43,Argentina,160,South America,Americas,Juan Peron,Democracy,Presidential Dem,Juan Peron.Argentina.1973.Presidential Dem,1,1973,0
44,Argentina,160,South America,Americas,Isabel Peron,Democracy,Presidential Dem,Isabel Peron.Argentina.1974.Presidential Dem,2,1974,1
45,Argentina,160,South America,Americas,Jorge Rafael Videla,Non-democracy,Military Dict,Jorge Rafael Videla.Argentina.1976.Military Dict,5,1976,1
46,Argentina,160,South America,Americas,Leopoldo Galtieri,Non-democracy,Military Dict,Leopoldo Galtieri.Argentina.1981.Military Dict,1,1981,1
47,Argentina,160,South America,Americas,Reynaldo Bignone,Non-democracy,Military Dict,Reynaldo Bignone.Argentina.1982.Military Dict,1,1982,1
48,Argentina,160,South America,Americas,Raul Alfonsin,Democracy,Presidential Dem,Raul Alfonsin.Argentina.1983.Presidential Dem,6,1983,1
49,Argentina,160,South America,Americas,Carlos Menem,Democracy,Presidential Dem,Carlos Menem.Argentina.1989.Presidential Dem,10,1989,1
50,Argentina,160,South America,Americas,Fernando de la Rua,Democracy,Presidential Dem,Fernando de la Rua.Argentina.1999.Presidential Dem,2,1999,1
51,Argentina,160,South America,Americas,Eduardo Oscar Camano,Democracy,Presidential Dem,Eduardo Oscar Camano.Argentina.2001.Presidential Dem,1,2001,1
52,Argentina,160,South America,Americas,Eduardo Alberto Duhalde Maldonado,Democracy,Presidential Dem,Eduardo Alberto Duhalde Maldonado.Argentina.2002.Presidential Dem,3,2002,1
53,Argentina,160,South America,Americas,Nï¿½stor Carlos Kirchner Ostoic,Democracy,Presidential Dem,Nï¿½stor Carlos Kirchner Ostoic.Argentina.2005.Presidential Dem,2,2005,1
54,Argentina,160,South America,Americas,Cristina Fernï¿½ndez de Kirchner,Democracy,Presidential Dem,Cristina Fernï¿½ndez de Kirchner.Argentina.2007.Presidential Dem,2,2007,0
55,Armenia,371,Western Asia,Asia,Levon Ter-Petrosyan,Democracy,Mixed Dem,Levon Ter-Petrosyan.Armenia.1991.Mixed Dem,4,1991,1
56,Armenia,371,Western Asia,Asia,Hrant Bagratyan,Democracy,Mixed Dem,Hrant Bagratyan.Armenia.1995.Mixed Dem,1,1995,1
57,Armenia,371,Western Asia,Asia,Armen Sarkisyan,Democracy,Mixed Dem,Armen Sarkisyan.Armenia.1996.Mixed Dem,1,1996,1
58,Armenia,371,Western Asia,Asia,Robert Kocharyan,Democracy,Mixed Dem,Robert Kocharyan.Armenia.1997.Mixed Dem,1,1997,1
59,Armenia,371,Western Asia,Asia,Armen Darbinyan,Democracy,Mixed Dem,Armen Darbinyan.Armenia.1998.Mixed Dem,1,1998,1
60,Armenia,371,Western Asia,Asia,Aram Sargsyan,Democracy,Mixed Dem,Aram Sargsyan.Armenia.1999.Mixed Dem,1,1999,1
61,Armenia,371,Western Asia,Asia,Andranik Margaryan,Democracy,Mixed Dem,Andranik Margaryan.Armenia.2000.Mixed Dem,7,2000,0
62,Armenia,371,Western Asia,Asia,Serzh Sargsyan,Democracy,Mixed Dem,Serzh Sargsyan.Armenia.2007.Mixed Dem,1,2007,1
63,Armenia,371,Western Asia,Asia,Tigran Sargsyan,Democracy,Mixed Dem,Tigran Sargsyan.Armenia.2008.Mixed Dem,1,2008,0
64,Australia,900,Australia and New Zealand,Oceania,Joseph Chifley,Democracy,Parliamentary Dem,Joseph Chifley.Australia.1946.Parliamentary Dem,3,1946,1
65,Australia,900,Australia and New Zealand,Oceania,Robert Menzies,Democracy,Parliamentary Dem,Robert Menzies.Australia.1949.Parliamentary Dem,17,1949,1
66,Australia,900,Australia and New Zealand,Oceania,Harold Holt,Democracy,Parliamentary Dem,Harold Holt.Australia.1966.Parliamentary Dem,1,1966,0
67,Australia,900,Australia and New Zealand,Oceania,John McEwan,Democracy,Parliamentary Dem,John McEwan.Australia.1967.Parliamentary Dem,1,1967,1
68,Australia,900,Australia and New Zealand,Oceania,John Gorton,Democracy,Parliamentary Dem,John Gorton.Australia.1968.Parliamentary Dem,3,1968,1
69,Australia,900,Australia and New Zealand,Oceania,William McMahon,Democracy,Parliamentary Dem,William McMahon.Australia.1971.Parliamentary Dem,1,1971,1
70,Australia,900,Australia and New Zealand,Oceania,E. Gough Whitlam,Democracy,Parliamentary Dem,E. Gough Whitlam.Australia.1972.Parliamentary Dem,3,1972,1
71,Australia,900,Australia and New Zealand,Oceania,Malcom Fraser,Democracy,Parliamentary Dem,Malcom Fraser.Australia.1975.Parliamentary Dem,8,1975,1
72,Australia,900,Australia and New Zealand,Oceania,Robert Hawke,Democracy,Parliamentary Dem,Robert Hawke.Australia.1983.Parliamentary Dem,8,1983,1
73,Australia,900,Australia and New Zealand,Oceania,Paul Keating,Democracy,Parliamentary Dem,Paul Keating.Australia.1991.Parliamentary Dem,5,1991,1
74,Australia,900,Australia and New Zealand,Oceania,John Howard,Democracy,Parliamentary Dem,John Howard.Australia.1996.Parliamentary Dem,11,1996,1
75,Australia,900,Australia and New Zealand,Oceania,Kevin Michael Rudd,Democracy,Parliamentary Dem,Kevin Michael Rudd.Australia.2007.Parliamentary Dem,2,2007,0
76,Austria,305,Western Europe,Europe,Leopold Figl,Democracy,Mixed Dem,Leopold Figl.Austria.1946.Mixed Dem,7,1946,1
77,Austria,305,Western Europe,Europe,Julius Raab,Democracy,Mixed Dem,Julius Raab.Austria.1953.Mixed Dem,8,1953,1
78,Austria,305,Western Europe,Europe,Alfons Gorbach,Democracy,Mixed Dem,Alfons Gorbach.Austria.1961.Mixed Dem,3,1961,1
79,Austria,305,Western Europe,Europe,Josef Klaus,Democracy,Mixed Dem,Josef Klaus.Austria.1964.Mixed Dem,6,1964,1
80,Austria,305,Western Europe,Europe,Bruno Kreisky,Democracy,Mixed Dem,Bruno Kreisky.Austria.1970.Mixed Dem,13,1970,1
81,Austria,305,Western Europe,Europe,Alfred Sinowatz,Democracy,Mixed Dem,Alfred Sinowatz.Austria.1983.Mixed Dem,3,1983,1
82,Austria,305,Western Europe,Europe,Franz Vranitzky,Democracy,Mixed Dem,Franz Vranitzky.Austria.1986.Mixed Dem,11,1986,1
83,Austria,305,Western Europe,Europe,Viktor Klima,Democracy,Mixed Dem,Viktor Klima.Austria.1997.Mixed Dem,3,1997,1
84,Austria,305,Western Europe,Europe,Wolfgang Schussel,Democracy,Mixed Dem,Wolfgang Schussel.Austria.2000.Mixed Dem,7,2000,1
85,Austria,305,Western Europe,Europe,Alfred Gusenbauer,Democracy,Mixed Dem,Alfred Gusenbauer.Austria.2007.Mixed Dem,2,2007,0
86,Azerbaijan,373,Western Asia,Asia,Ayaz Mutalibov,Non-democracy,Civilian Dict,Ayaz Mutalibov.Azerbaijan.1991.Civilian Dict,1,1991,1
87,Azerbaijan,373,Western Asia,Asia,Abulfez Elchibey,Non-democracy,Civilian Dict,Abulfez Elchibey.Azerbaijan.1992.Civilian Dict,1,1992,1
88,Azerbaijan,373,Western Asia,Asia,Heydar Aliyev,Non-democracy,Civilian Dict,Heydar Aliyev.Azerbaijan.1993.Civilian Dict,10,1993,0
89,Azerbaijan,373,Western Asia,Asia,Ilham Heydar oglu Aliyev,Non-democracy,Civilian Dict,Ilham Heydar oglu Aliyev.Azerbaijan.2003.Civilian Dict,6,2003,0
90,Bahamas,31,Caribbean,Americas,Lynden Pindling,Democracy,Parliamentary Dem,Lynden Pindling.Bahamas.1973.Parliamentary Dem,19,1973,1
91,Bahamas,31,Caribbean,Americas,Hubert Ingraham,Democracy,Parliamentary Dem,Hubert Ingraham.Bahamas.1992.Parliamentary Dem,10,1992,1
92,Bahamas,31,Caribbean,Americas,Perry Gladstone Christie,Democracy,Parliamentary Dem,Perry Gladstone Christie.Bahamas.2002.Parliamentary Dem,5,2002,1
93,Bahamas,31,Caribbean,Americas,Hubert Alexander Ingraham,Democracy,Parliamentary Dem,Hubert Alexander Ingraham.Bahamas.2007.Parliamentary Dem,2,2007,0
94,Bahrain,692,Western Asia,Asia,Sheikh 'Isa ibn Sulman Al Khalifah,Non-democracy,Monarchy,Sheikh 'Isa ibn Sulman Al Khalifah.Bahrain.1971.Monarchy,28,1971,0
95,Bahrain,692,Western Asia,Asia,Sheikh Hamad ibn 'Isa Al Khalifah,Non-democracy,Monarchy,Sheikh Hamad ibn 'Isa Al Khalifah.Bahrain.1999.Monarchy,10,1999,0
96,Bangladesh,771,Southern Asia,Asia,Tajuddin Ahmed,Non-democracy,Civilian Dict,Tajuddin Ahmed.Bangladesh.1971.Civilian Dict,1,1971,1
97,Bangladesh,771,Southern Asia,Asia,Mujibur Rahman,Non-democracy,Civilian Dict,Mujibur Rahman.Bangladesh.1972.Civilian Dict,3,1972,0
98,Bangladesh,771,Southern Asia,Asia,Abu Sadat Mohammad Sayem,Non-democracy,Civilian Dict,Abu Sadat Mohammad Sayem.Bangladesh.1975.Civilian Dict,2,1975,1
99,Bangladesh,771,Southern Asia,Asia,Zia ur-Rahman,Non-democracy,Military Dict,Zia ur-Rahman.Bangladesh.1977.Military Dict,4,1977,0
100,Bangladesh,771,Southern Asia,Asia,Abdus Sattar,Non-democracy,Civilian Dict,Abdus Sattar.Bangladesh.1981.Civilian Dict,1,1981,1
101,Bangladesh,771,Southern Asia,Asia,Hossain Mohammad Ershad,Non-democracy,Military Dict,Hossain Mohammad Ershad.Bangladesh.1982.Military Dict,4,1982,1
102,Bangladesh,771,Southern Asia,Asia,Hossain Mohammad Ershad,Democracy,Mixed Dem,Hossain Mohammad Ershad.Bangladesh.1986.Mixed Dem,4,1986,1
103,Bangladesh,771,Southern Asia,Asia,Shahabuddin Ahmed,Democracy,Mixed Dem,Shahabuddin Ahmed.Bangladesh.1990.Mixed Dem,1,1990,1
104,Bangladesh,771,Southern Asia,Asia,Khaleda Zia,Democracy,Parliamentary Dem,Khaleda Zia.Bangladesh.1991.Parliamentary Dem,5,1991,1
105,Bangladesh,771,Southern Asia,Asia,Sheikh Hasina Wajed,Democracy,Parliamentary Dem,Sheikh Hasina Wajed.Bangladesh.1996.Parliamentary Dem,5,1996,1
106,Bangladesh,771,Southern Asia,Asia,Khaleda Zia,Democracy,Parliamentary Dem,Khaleda Zia.Bangladesh.2001.Parliamentary Dem,6,2001,1
107,Bangladesh,771,Southern Asia,Asia,military,Non-democracy,Military Dict,military.Bangladesh.2007.Military Dict,1,2007,1
108,Bangladesh,771,Southern Asia,Asia,military,Non-democracy,Civilian Dict,military.Bangladesh.2008.Civilian Dict,1,2008,0
109,Barbados,53,Caribbean,Americas,Errol Barrow,Democracy,Parliamentary Dem,Errol Barrow.Barbados.1966.Parliamentary Dem,10,1966,1
110,Barbados,53,Caribbean,Americas,John Adams,Democracy,Parliamentary Dem,John Adams.Barbados.1976.Parliamentary Dem,9,1976,0
111,Barbados,53,Caribbean,Americas,Bernard St. John,Democracy,Parliamentary Dem,Bernard St. John.Barbados.1985.Parliamentary Dem,1,1985,1
112,Barbados,53,Caribbean,Americas,Errol Barrow,Democracy,Parliamentary Dem,Errol Barrow.Barbados.1986.Parliamentary Dem,1,1986,0
113,Barbados,53,Caribbean,Americas,Erskine Sandiford,Democracy,Parliamentary Dem,Erskine Sandiford.Barbados.1987.Parliamentary Dem,7,1987,1
114,Barbados,53,Caribbean,Americas,Owen Arthur,Democracy,Parliamentary Dem,Owen Arthur.Barbados.1994.Parliamentary Dem,14,1994,1
115,Barbados,53,Caribbean,Americas,David Thompson,Democracy,Parliamentary Dem,David Thompson.Barbados.2008.Parliamentary Dem,1,2008,0
116,Belarus,370,Eastern Europe,Europe,Stanislau Shushkevich,Non-democracy,Civilian Dict,Stanislau Shushkevich.Belarus.1991.Civilian Dict,3,1991,1
117,Belarus,370,Eastern Europe,Europe,Alyaksandr Lukashenka,Non-democracy,Civilian Dict,Alyaksandr Lukashenka.Belarus.1994.Civilian Dict,15,1994,0
118,Belgium,211,Western Europe,Europe,Camille Huysmans,Democracy,Parliamentary Dem,Camille Huysmans.Belgium.1946.Parliamentary Dem,1,1946,1
119,Belgium,211,Western Europe,Europe,Paul-Henri Spaak,Democracy,Parliamentary Dem,Paul-Henri Spaak.Belgium.1947.Parliamentary Dem,2,1947,1
120,Belgium,211,Western Europe,Europe,Gaston Eyskens,Democracy,Parliamentary Dem,Gaston Eyskens.Belgium.1949.Parliamentary Dem,1,1949,1
121,Belgium,211,Western Europe,Europe,Joseph Pholien,Democracy,Parliamentary Dem,Joseph Pholien.Belgium.1950.Parliamentary Dem,2,1950,1
122,Belgium,211,Western Europe,Europe,Jean van Houtte,Democracy,Parliamentary Dem,Jean van Houtte.Belgium.1952.Parliamentary Dem,2,1952,1
123,Belgium,211,Western Europe,Europe,Achille van Acker,Democracy,Parliamentary Dem,Achille van Acker.Belgium.1954.Parliamentary Dem,4,1954,1
124,Belgium,211,Western Europe,Europe,Gaston Eyskens,Democracy,Parliamentary Dem,Gaston Eyskens.Belgium.1958.Parliamentary Dem,3,1958,1
125,Belgium,211,Western Europe,Europe,Theodore Lefevre,Democracy,Parliamentary Dem,Theodore Lefevre.Belgium.1961.Parliamentary Dem,4,1961,1
126,Belgium,211,Western Europe,Europe,Pierre Harmel,Democracy,Parliamentary Dem,Pierre Harmel.Belgium.1965.Parliamentary Dem,1,1965,1
127,Belgium,211,Western Europe,Europe,Paul van den Boeynants,Democracy,Parliamentary Dem,Paul van den Boeynants.Belgium.1966.Parliamentary Dem,2,1966,1
128,Belgium,211,Western Europe,Europe,Gaston Eyskens,Democracy,Parliamentary Dem,Gaston Eyskens.Belgium.1968.Parliamentary Dem,5,1968,1
129,Belgium,211,Western Europe,Europe,Edmond Leburton,Democracy,Parliamentary Dem,Edmond Leburton.Belgium.1973.Parliamentary Dem,1,1973,1
130,Belgium,211,Western Europe,Europe,Leo Tindemans,Democracy,Parliamentary Dem,Leo Tindemans.Belgium.1974.Parliamentary Dem,4,1974,1
131,Belgium,211,Western Europe,Europe,Paul van den Boeynants,Democracy,Parliamentary Dem,Paul van den Boeynants.Belgium.1978.Parliamentary Dem,1,1978,1
132,Belgium,211,Western Europe,Europe,Wilfried Martens,Democracy,Parliamentary Dem,Wilfried Martens.Belgium.1979.Parliamentary Dem,13,1979,1
133,Belgium,211,Western Europe,Europe,Jean-Luc Dehaene,Democracy,Parliamentary Dem,Jean-Luc Dehaene.Belgium.1992.Parliamentary Dem,7,1992,1
134,Belgium,211,Western Europe,Europe,Guy Verhofstadt,Democracy,Parliamentary Dem,Guy Verhofstadt.Belgium.1999.Parliamentary Dem,9,1999,1
135,Belgium,211,Western Europe,Europe,Herman Van Rompuy,Democracy,Parliamentary Dem,Herman Van Rompuy.Belgium.1981.Parliamentary Dem,1,2008,0
136,Belize,80,Central America,Americas,George Cadle Price,Democracy,Parliamentary Dem,George Cadle Price.Belize.1981.Parliamentary Dem,3,1981,1
137,Belize,80,Central America,Americas,Manuel Esquivel,Democracy,Parliamentary Dem,Manuel Esquivel.Belize.1984.Parliamentary Dem,5,1984,1
138,Belize,80,Central America,Americas,George Cadle Price,Democracy,Parliamentary Dem,George Cadle Price.Belize.1989.Parliamentary Dem,4,1989,1
139,Belize,80,Central America,Americas,Manuel Esquivel,Democracy,Parliamentary Dem,Manuel Esquivel.Belize.1993.Parliamentary Dem,5,1993,1
140,Belize,80,Central America,Americas,Said Musa,Democracy,Parliamentary Dem,Said Musa.Belize.1998.Parliamentary Dem,10,1998,1
141,Belize,80,Central America,Americas,Dean Oliver Barrow,Democracy,Parliamentary Dem,Dean Oliver Barrow.Belize.2008.Parliamentary Dem,1,2008,0
142,Benin,434,Western Africa,Africa,Hubert Maga,Non-democracy,Civilian Dict,Hubert Maga.Benin.1960.Civilian Dict,3,1960,1
143,Benin,434,Western Africa,Africa,Christophe Soglo,Non-democracy,Military Dict,Christophe Soglo.Benin.1963.Military Dict,4,1963,1
144,Benin,434,Western Africa,Africa,Alphonse Alley,Non-democracy,Military Dict,Alphonse Alley.Benin.1967.Military Dict,1,1967,1
145,Benin,434,Western Africa,Africa,military,Non-democracy,Military Dict,military.Benin.1968.Military Dict,2,1968,1
146,Benin,434,Western Africa,Africa,Hubert Maga,Non-democracy,Civilian Dict,Hubert Maga.Benin.1970.Civilian Dict,2,1970,1
147,Benin,434,Western Africa,Africa,Mathieu Kerekou,Non-democracy,Military Dict,Mathieu Kerekou.Benin.1972.Military Dict,19,1972,1
148,Benin,434,Western Africa,Africa,Nicephore Soglo,Democracy,Presidential Dem,Nicephore Soglo.Benin.1991.Presidential Dem,5,1991,1
149,Benin,434,Western Africa,Africa,Mathieu Kerekou,Democracy,Presidential Dem,Mathieu Kerekou.Benin.1996.Presidential Dem,10,1996,1
150,Benin,434,Western Africa,Africa,Yayi Boni,Democracy,Presidential Dem,Yayi Boni.Benin.2006.Presidential Dem,3,2006,0
151,Bhutan,760,Southern Asia,Asia,Jigme Wangchuk,Non-democracy,Monarchy,Jigme Wangchuk.Bhutan.1946.Monarchy,6,1946,0
152,Bhutan,760,Southern Asia,Asia,Jigme Dorji Wangchuk,Non-democracy,Monarchy,Jigme Dorji Wangchuk.Bhutan.1952.Monarchy,20,1952,0
153,Bhutan,760,Southern Asia,Asia,Jigme Singye Wangchuk,Non-democracy,Monarchy,Jigme Singye Wangchuk.Bhutan.1972.Monarchy,35,1972,1
154,Bhutan,760,Southern Asia,Asia,Kinzang Dorji,Democracy,Parliamentary Dem,Kinzang Dorji.Bhutan.2007.Parliamentary Dem,1,2007,1
155,Bhutan,760,Southern Asia,Asia,Jigme Thinley,Democracy,Parliamentary Dem,Jigme Thinley.Bhutan.2008.Parliamentary Dem,1,2008,0
156,Bolivia,145,South America,Americas,Military,Non-democracy,Military Dict,Military.Bolivia.1946.Military Dict,1,1946,1
157,Bolivia,145,South America,Americas,Enrique Hertzog,Non-democracy,Civilian Dict,Enrique Hertzog.Bolivia.1947.Civilian Dict,2,1947,1
158,Bolivia,145,South America,Americas,Mamerto Urriolagoitia,Non-democracy,Civilian Dict,Mamerto Urriolagoitia.Bolivia.1949.Civilian Dict,2,1949,1
159,Bolivia,145,South America,Americas,Hugo Ballivion Rojas,Non-democracy,Military Dict,Hugo Ballivion Rojas.Bolivia.1951.Military Dict,1,1951,1
160,Bolivia,145,South America,Americas,Victor Paz Estenssoro,Non-democracy,Civilian Dict,Victor Paz Estenssoro.Bolivia.1952.Civilian Dict,4,1952,1
161,Bolivia,145,South America,Americas,Hernan Siles Zuazo,Non-democracy,Civilian Dict,Hernan Siles Zuazo.Bolivia.1956.Civilian Dict,4,1956,1
162,Bolivia,145,South America,Americas,Victor Paz Estenssoro,Non-democracy,Civilian Dict,Victor Paz Estenssoro.Bolivia.1960.Civilian Dict,4,1960,1
163,Bolivia,145,South America,Americas,Rene Barrientos Ortuno,Non-democracy,Military Dict,Rene Barrientos Ortuno.Bolivia.1964.Military Dict,1,1964,1
164,Bolivia,145,South America,Americas,Rene Barrientos Ortuno+Alfredo Ovando Candia,Non-democracy,Military Dict,Rene Barrientos Ortuno+Alfredo Ovando Candia.Bolivia.1965.Military Dict,1,1965,1
165,Bolivia,145,South America,Americas,Rene Barrientos Ortuno,Non-democracy,Military Dict,Rene Barrientos Ortuno.Bolivia.1966.Military Dict,3,1966,0
166,Bolivia,145,South America,Americas,Alfredo Ovando Candia,Non-democracy,Military Dict,Alfredo Ovando Candia.Bolivia.1969.Military Dict,1,1969,1
167,Bolivia,145,South America,Americas,Juan Torres Gonzalez,Non-democracy,Military Dict,Juan Torres Gonzalez.Bolivia.1970.Military Dict,1,1970,1
168,Bolivia,145,South America,Americas,Hugo Banzer Suarez,Non-democracy,Military Dict,Hugo Banzer Suarez.Bolivia.1971.Military Dict,7,1971,1
169,Bolivia,145,South America,Americas,David Padilla Arancibia,Non-democracy,Military Dict,David Padilla Arancibia.Bolivia.1978.Military Dict,1,1978,1
170,Bolivia,145,South America,Americas,Lidia Gueiler Tejada,Democracy,Presidential Dem,Lidia Gueiler Tejada.Bolivia.1979.Presidential Dem,1,1979,1
171,Bolivia,145,South America,Americas,Luis Garcia Meza Tejada,Non-democracy,Military Dict,Luis Garcia Meza Tejada.Bolivia.1980.Military Dict,1,1980,1
172,Bolivia,145,South America,Americas,Celso Torrelio Villa,Non-democracy,Military Dict,Celso Torrelio Villa.Bolivia.1981.Military Dict,1,1981,1
173,Bolivia,145,South America,Americas,Hernan Siles Zuazo,Democracy,Presidential Dem,Hernan Siles Zuazo.Bolivia.1982.Presidential Dem,3,1982,1
174,Bolivia,145,South America,Americas,Victor Paz Estenssoro,Democracy,Presidential Dem,Victor Paz Estenssoro.Bolivia.1985.Presidential Dem,4,1985,1
175,Bolivia,145,South America,Americas,Jaime Paz Zamoro,Democracy,Presidential Dem,Jaime Paz Zamoro.Bolivia.1989.Presidential Dem,4,1989,1
176,Bolivia,145,South America,Americas,Gonzalo Sanchez de Lozada,Democracy,Presidential Dem,Gonzalo Sanchez de Lozada.Bolivia.1993.Presidential Dem,4,1993,1
